S. No.,TRANSPORTER SAP CODE,TRANSPORTER NAME,REGÂ  NO,VTS DEVICE NO,VTS DEVICE INSTALLATION DATE,Bio-Metric Finger Print Reader DEVICE NO,Bio-Metric Finger Print Reader INSTALLATION DATE,Voice Box DEVICE NO,Voice Box DEVICE INSTALLATION DATE,LOCATION,SIM NUMBER,NETWORK OPRATOR
1,3290148,K.KONDALA RAO,AP31TE7317,21175OV01077,11/01/2018,5117BFS00683,11/01/2018,2517CVB00683,11/01/2018,KAKINADA,7219077231,AIRTEL
2,3290148,K.KONDALA RAO,AP31TH5517,21175OV01277,22/01/2018,5117CFS01712,22/01/2018,2517CVB01701,22/01/2018,KAKINADA,7219104683,AIRTEL
3,3239861,SRI KANAKADURGA LOGISTICS,AP28TA8318,21175OV01075,22/01/2018,5117BFS00681,22/01/2018,2517CVB00681,22/01/2018,KAKINADA,7219076981,AIRTEL
4,3239861,SRI KANAKADURGA LOGISTICS,AP16TH2247,21175OV01078,22/01/2018,5117BFS00684,22/01/2018,2517CVB00684,22/01/2018,KAKINADA,7219077317,AIRTEL
5,250792,SIRI TRANSPORT,AP37TB4777,21175OV01076,22/01/2018,5117BFS00682,22/01/2018,2517CVB00682,22/01/2018,KAKINADA,7219076982,AIRTEL
6,3239861,SRI KANAKADURGA LOGISTICS,AP28TA8319,21175OV01273,23/01/2018,5117CFS01708,23/01/2018,2517CVB01697,23/01/2018,KAKINADA,7219103652,AIRTEL
7,242755,RAJA LORRY TRANSPORT,AP05TU9234,21175OV01273,23/01/2018,5117CFS01711,23/01/2018,2517CVB01700,23/01/2018,KAKINADA,7219104544,AIRTEL
8,3239861,SRI KANAKADURGA LOGISTICS,AP16TH2297,21175OV01275,23/01/2018,5117CFS01710,23/01/2018,2517CVB01699,23/01/2018,KAKINADA,7219104384,AIRTEL
9,3239861,SRI KANAKADURGA LOGISTICS,AP05W8082,21175OV01274,23/01/2018,5117CFS01709,23/01/2018,2517CVB01698,23/01/2018,KAKINADA,7219103938,AIRTEL
10,242152,SREE USHA RANI TRANSPORT,AP16TU9509,21175OV00739,23/01/2018,5117BFS01265,23/01/2018,2517CVB01265,23/01/2018,KAKINADA,7219149204,AIRTEL
11,242755,RAJA LORRY TRANSPORT,AP16TG3509,21175OV00738,31/03/2018,5117BFS01264,31/03/2018,2517CVB01264,31/03/2018,KAKINADA,7219149165,AIRTEL
12,3291079,SRI SRINIVASA TRANSPORT,AP29W2927,21175OV00736,24/01/2018,5117BFS01262,24/01/2018,2517CVB01262,24/01/2018,KAKINADA,7219149046,AIRTEL
13,3290148,K.KONDALA RAO,AP31TH5157,21175OV01256,24/01/2018,5117CFS01691,24/01/2018,2517CVB01680,24/01/2018,KAKINADA,7219102422,AIRTEL
14,3290148,K.KONDALA RAO,AP31TF3519,21175OV00735,24/01/2018,5117BFS01261,24/01/2018,2517CVB01261,24/01/2018,KAKINADA,7219149021,AIRTEL
15,263949,VIGNESWARA TRANSPORT,AP31TH4536,21175OV01253,24/01/2018,5117CFS01688,24/01/2018,2517CVB01677,24/01/2018,KAKINADA,7219102357,AIRTEL
16,3291079,SRI SRINIVASA TRANSPORT,TS07UE3936,21175OV00737,24/01/2018,5117BFS01263,24/01/2018,2517CVB01263,24/01/2018,KAKINADA,7219149121,AIRTEL
17,263949,VIGNESWARA TRANSPORT,AP31TH5463,21175OV01258,25/01/2018,5117CFS01693,25/01/2018,2517CVB01682,25/01/2018,KAKINADA,7219102529,AIRTEL
18,242152,SREE USHA RANI TRANSPORT,AP16TB3139,21175OV01267,25/01/2018,5117CFS01702,25/01/2018,2517CVB01691,25/01/2018,KAKINADA,7219103263,AIRTEL
19,263949,VIGNESWARA TRANSPORT,AP31TH1926,21175OV01270,25/01/2018,5117CFS01705,25/01/2018,2517CVB01694,25/01/2018,KAKINADA,7219103511,AIRTEL
20,3291079,SRI SRINIVASA TRANSPORT,TS07UE3239,21175OV01269,25/01/2018,5117CFS01704,25/01/2018,2517CVB01693,25/01/2018,KAKINADA,7219103485,AIRTEL
21,3291079,SRI SRINIVASA TRANSPORT,TS07UE3404,21175OV01271,25/01/2018,5117CFS01706,25/01/2018,2517CVB01695,25/01/2018,KAKINADA,7219103549,AIRTEL
22,242755,RAJA LORRY TRANSPORT,AP07TW9359,21175OV01255,25/01/2018,5117CFS01690,25/01/2018,2517CVB01679,25/01/2018,KAKINADA,7219102389,AIRTEL
23,3290148,K.KONDALA RAO,AP05TF1479,21175OV01272,25/01/2018,5117CFS01707,25/01/2018,2517CVB01696,25/01/2018,KAKINADA,7219103591,AIRTEL
24,263949,VIGNESWARA TRANSPORT,AP31TH5364,21175OV01266,25/01/2018,5117CFS01701,25/01/2018,2517CVB01690,25/01/2018,KAKINADA,7219103176,AIRTEL
25,3290148,K.KONDALA RAO,AP31TF5517,21175OV01236,26/01/2018,5117CFS01698,26/01/2018,2517CVB01687,26/01/2018,KAKINADA,7219102865,AIRTEL
26,242152,VIGNESWARA TRANSPORT,AP31TA7569,21175OV01254,26/01/2018,5117BFS01689,26/01/2018,2517CVB01678,26/01/2018,KAKINADA,7219102376,AIRTEL
27,3239861,SRI KANAKADURGA LOGISTICS,AP28TA7321,21175OV01257,12/02/2018,5117CFS01692,12/02/2018,2517CVB01681,12/02/2018,KAKINADA,7219102446,AIRTEL
28,242152,SREE USHA RANI TRANSPORT,AP31D1689,21175OV01262,12/02/2018,5117CFS01697,12/02/2018,2517CVB01686,12/02/2018,KAKINADA,7219102743,AIRTEL
29,242152,SREE USHA RANI TRANSPORT,AP31TD1489,21175OV01268,13/03/2018,5117CFS01703,13/03/2018,2517CVB01692,13/03/2018,KAKINADA,7219103312,AIRTEL
30,3290148,K.KONDALA RAO,AP31TF4257,21175OV01264,13/03/2018,5117CFS01699,13/03/2018,2517CVB01688,13/03/2018,KAKINADA,7219103136,AIRTEL
31,263949,VIGNESWARA TRANSPORT,AP31TH1665,21175OV01260,15/03/2018,5117CFS01695,15/03/2018,2517CVB01695,15/03/2018,KAKINADA,7219102686,AIRTEL
32,3239861,SRI KANAKADURGA LOGISTICS,AP09TA3786,21175OV01261,13/04/2018,5117CFS01696,13/04/2018,2517CVB01685,13/04/2018,KAKINADA,7219102734,AIRTEL
33,250792,SIRI TRANSPORT,AP16TG4269,21175OV00725,14/04/2018,5117CFS01251,14/04/2018,2517CVB01251,14/04/2018,KAKINADA,7219148373,AIRTEL
34,3239861,SRI KANAKADURGA LOGISTICS,AP20TA0549,21175OV01265,14/04/2018,5117CFS01700,14/04/2018,2517CVB01265,14/04/2018,KAKINADA,7219103158,AIRTEL
35,3203348,P NARAYANA RAJU,AP31T8358,21175OV01259,17/04/2018,5117CFS01694,17/04/2018,2517CVB01683,17/04/2018,KAKINADA,7219102647,AIRTEL
36,242755,RAJA LORRY TRANSPORT,AP31TU7789,21175OV00726,17/04/2018,5117CFS01252,17/04/2018,2517CVB01252,17/04/2018,KAKINADA,7219148413,AIRTEL
37,,OM MAA,OD05M6577,21175OV00727,21/04/2018,5117BFS01253,21/04/2018,2517CVB01253,21/04/2018,VIZAG,7219148498,AIRTEL
38,,AVADESH TRANSPORT,GJ19X4359,21175OV00732,21/04/2018,5117BFS01258,21/04/2018,2517CVB01258,21/04/2018,VIZAG,7219148721,AIRTEL
39,250792,SIR I TRANSPORT,AP16TG4257,21175OV00734,27/04/2018,5117BFS01260,27/04/2018,2517CVB01260,27/04/2018,KAKINADA,7219148997,AIRTEL
40,3296943,SOBHAN TRANSPORT,AP16TH5839,2117BOV03128,28/05/2018,5117CFS02306,28/05/2018,2517CVB02318,28/05/2018,KAKINADA,7028342120,AIRTEL
41,242755,RAJA LORRY TRANSPORT,AP31TU9789,2117BOV03127,31/05/2018,5117CFS02305,31/05/2018,2517CVB02317,31/05/2018,KAKINADA,7028341847,AIRTEL
42,3296943,SOBHAN TRANSPORT,AP16TH8440,2117BOV03126,31/05/2018,5117CFS02304,31/05/2018,2517CVB02316,31/05/2018,KAKINADA,7028341768,AIRTEL
43,3296943,SOBHAN TRANSPORT,AP16TB7000,21175OV01308,06/04/2018,5117CFS02293,06/04/2018,2517CVB02305,06/04/2018,KAKINADA,7219108839,AIRTEL
44,3296943,SOBHAN TRANSPORT,AP16TH9222,2117BOV03125,06/04/2018,5117CFS02303,06/04/2018,2517CVB02315,06/04/2018,KAKINADA,7028341727,AIRTEL
45,3296943,SOBHAN TRANSPORT,AP16TC8269,21175OV01307,06/07/2018,5117CFS02292,06/07/2018,2517CVB02304,06/07/2018,KAKINADA,7219108729,AIRTEL
46,3304891,GANDI G TRANSPORT,AP31TE9387,21175OV01303,23/06/2018,5117CFS02288,23/06/2018,2517CVB02300,23/06/2018,KAKINADA,7219108634,AIRTEL
47,3304891,GANDI G TRANSPORT,AP07TD1339,21175OV01304,23/06/2018,5117CFS02289,23/06/2018,2517CVB02301,23/06/2018,KAKINADA,7219108639,AIRTEL
48,3296943,SOBHAN TRANSPORT,AP16TH8137,21175OV01305,29/06/2018,5117CFS02290,29/06/2018,2517CVB02302,29/06/2018,KAKINADA,7219108664,AIRTEL
